player,pos,injury_history,current_status_2026-09-04,lingering_flag,source_url,date
Kenneth Walker III,RB,sports hernia surgery (preseason):2022; oblique/groin (2 games):2023; calf (2 games) + ankle (IR):2024; foot soreness/ankle swelling (shoe-related per Reid):2026,"Now KC's lead back. Missed two straight practices in late Aug with foot soreness; Macdonald/Reid not concerned; 'expectation is Walker will be ready for Week 1' (Sept 14 vs DEN) — no Sept snippet confirming, treat as probable.",soft-tissue,https://www.profootballnetwork.com/what-happened-to-kenneth-walker-iii-latest-chiefs-star-injury-week-1-2026-august-2026/ ; https://www.draftsharks.com/fantasy/injury-history/kenneth-walker-iii/12579,2026-09-04
Breece Hall,RB,"torn ACL + meniscus (Week 7):2022; knee hyperextension/bruise (played):2024; groin strain (Aug 17, 2-3 wks):2026",Minor groin strain; Aaron Glenn: on track for Sept 13 vs TEN; missed rest of preseason.,soft-tissue,https://bleacherreport.com/articles/25474387-breece-halls-injury-return-timeline-updated-jets-aaron-glenn-after-groin-setback ; https://www.sports731.com/2026/08/19/ny-jets-rb-breece-hall-to-miss-2-3-weeks-with-groin-injury-expected-for-week-1-season-opener/,2026-09-04
Rashee Rice,WR,"LCL tear + hamstring, season-ending knee surgery (Week 4):2024; arthroscopic knee cleanup (May):2026",Back in 11-on-11 in late Aug after May scope on the surgically repaired right knee (plus 30-day jail stint); logged 10 snaps in preseason finale; expected to hold his role Week 1 barring setback.,structural,https://sports.yahoo.com/articles/rice-returns-limited-action-rehab-170412052.html ; https://www.foxsports.com/nfl/rashee-rice-player-injuries,2026-09-04
Garrett Wilson,WR,"right knee sprain (2 games) then re-sprain same knee (IR Nov 13, shut down for season):2025","No 2026 injury reported; Aaron Glenn (late July): 'feeling good, looks good'; new OC Frank Reich.",structural,https://sports.yahoo.com/articles/jets-garrett-wilson-champing-bit-151848952.html ; https://www.cbssports.com/nfl/news/garrett-wilson-injury-update-jets-wr-knee/,2026-09-04
Drake London,WR,"PCL sprain (Week 11 vs CAR, 4 games):2025; undisclosed (missed spring practices):2026",Practicing at full strength in camp after missing spring; no current injury report. New QB (Tua).,structural,https://www.atlantafalcons.com/news/report-drake-london-expected-to-miss-week ; https://www.atlantafalcons.com/news/falcons-injury-report-drake-london-returns-practice-limited,2026-09-04
CeeDee Lamb,WR,AC joint shoulder sprain (shut down Week 15):2024; high-ankle sprain (3 games):2025; concussion (Dec):2025,No 2026 injuries reported; healthy entering season.,none,https://fantasyfootballcalculator.com/players/ceedee-lamb/injury ; https://www.dallascowboys.com/news/cowboys-wr-ceedee-lamb-will-miss-some-time-with-high-ankle-sprain,2026-09-04
A.J. Brown,WR,"knee:2023; hamstring (3 games):2024; knee (Week 9):2024; hamstring (Dec):2025; hamstring (camp):2026; dislocated thumb (Aug 31 practice, popped back in):2026","Now NE (traded). Dislocated thumb at practice Aug 31, playing through it; earlier camp hamstring had him on track for the opener (Wed Sept 9 vs SEA).",soft-tissue,https://sports.yahoo.com/articles/j-brown-injury-ex-eagles-200045567.html ; https://www.draftsharks.com/fantasy/injury-history/aj-brown/10198,2026-09-04
Nico Collins,WR,"groin/foot (4 games):2022; calf (2 games):2023; hamstring (IR, 5 games):2024; concussion (vs PIT) + concussion (playoffs):2025","Spring limitations were rest, not injury (per Collins); healthy and 'in top form' at camp; has never played a full 17-game season.",soft-tissue,https://www.nfl.com/news/texans-wr-nico-collins-clarifies-why-he-was-limited-during-offseason-workouts ; https://www.draftsharks.com/fantasy/injury-history/nico-collins/10796,2026-09-04
Bucky Irving,RB,"shoulder + foot (7 games missed), offseason shoulder surgery:2025",Todd Bowles: 'full-go' for camp; played preseason vs KC (3-14); healthy for Week 1 (Sept 13 vs CIN).,structural,https://www.buccaneers.com/news/bucky-irving-full-go-feeling-stronger-from-adversity ; https://www.draftsharks.com/fantasy/injury-history/bucky-irving/34991,2026-09-04
Cam Skattebo,RB,"dislocated right ankle + open tibia/fibula fracture + ruptured deltoid ligament, surgery (Week 8 vs PHI):2025",Full participant all camp; played preseason opener (4-19); says 'ready to go' for Sept 13 vs DAL; Harbaugh: not yet '100% twitchy and explosive'. ~10.5 months post-op.,major-recovery,https://sports.yahoo.com/nfl/article/giants-cam-skattebo-eyes-week-1-return-vs-cowboys-ill-be-ready-to-go-122424538.html ; https://www.si.com/nfl/giants/onsi/cam-skattebo-ankle-injury-update-preseason-opener-01m08sch728x,2026-09-04
Omarion Hampton,RB,"fractured/sprained ankle (Week 5, IR):2025; right ankle (Week 17):2025",Says ankle issues are 'a thing of the past'; SI headline referenced a Hampton injury at LAC-LV joint session but details unverified; Chargers announced a rotation. Treat as probable Week 1.,structural,https://sports.yahoo.com/articles/omarion-hampton-guy-chargers-injury-205536540.html ; https://www.si.com/nfl/chargers/onsi/omarion-hampton-ashton-jeanty-injuries-update-spoil-raiders-chargers-showdown,2026-09-04
Joe Burrow,QB,"appendectomy (camp):2022; calf strain (camp/early season):2023; wrist ligament tear surgery (Week 11):2023; Grade 3 turf toe surgery (Week 2 vs JAX, Sept 14):2025",Toe 'feels great' in camp; experimenting with carbon-fiber plate; no current limitation; starting Sept 13 vs TB.,structural,https://sports.yahoo.com/articles/joe-burrow-comments-turf-toe-133100951.html ; https://www.espn.com/nfl/story/_/id/46264761/nfl-turf-toe-cincinnati-bengals-joe-burrow,2026-09-04
Jayden Daniels,QB,knee sprain (2 games):2025; hamstring (2 games):2025; dislocated elbow (Nov 2 vs SEA):2025; elbow re-injury ended season (Dec 7):2025,'Fully healthy'; did not play preseason (clipboard); Dan Quinn: 'He's ready'; starting Sept 13. LT Laremy Tunsil out (torn triceps).,structural,https://www.newsweek.com/sports/nfl/commanders-get-encouraging-jayden-daniels-injury-update-11906771 ; https://www.hogshaven.com/washington-commanders-news/435805/jayden-daniels-commanders-preseason-dan-quinn-ravens,2026-09-04
Patrick Mahomes,QB,"high-ankle sprain (playoffs):2022; torn ACL + LCL left knee (Dec 14 vs LAC), surgery Dec 16:2025",Full participant in camp; held out of all preseason games; expected to start Sept 14 (MNF vs DEN) — exactly 9 months post-op. Has said knee 'will likely linger'.,major-recovery,https://bleacherreport.com/articles/25485853-patrick-mahomes-gives-week-1-injury-status-update-amid-knee-rehab-chiefs-prepare-broncos ; https://sports.yahoo.com/nfl/article/patrick-mahomes-says-he-feels-great-still-hoping-to-play-in-week-1-194856631.html,2026-09-04
Lamar Jackson,QB,"PCL sprain (5 games + playoff):2022; hamstring (Week 4 vs KC, 4 games missed):2025; back contusion (vs NE):2025",'Fully healthy' entering 2026 (new OC Declan Doyle); opener Sept 13 at IND. 2025 hamstring/back sapped rushing even when active.,soft-tissue,https://www.baltimoreravens.com/news/lamar-jackson-returns-hot-four-touchdowns-ravens-dolphins-return-hamstring-injury ; https://www.espn.com/nfl/story/_/id/46414776/baltimore-ravens-qb-lamar-jackson-exits-hamstring-injury,2026-09-04
Brock Purdy,QB,"UCL elbow tear surgery (NFC CG Jan 2023):2022; shoulder (1 game):2024; turf toe right big toe (Week 1, 9 games missed, Nov setback):2025","April 2026: toe 'a thing of the past', in a 'really good spot'; no 2026 injury news; starting Sept 10 vs LAR.",none,https://sports.yahoo.com/articles/49ers-brock-purdy-updates-fans-231331586.html ; https://www.ninersnation.com/san-francisco-49ers-news/153567/san-francisco-49ers-news-brock-purdy-lingering-toe-injury-knbr-season-kyle-shanahan,2026-09-04
Tucker Kraft,TE,torn ACL (Nov 2 vs CAR):2025,Activated from PUP July 31; full participant in joint practice taking hard hits; will play Week 1 vs MIN; Packers' conservative staff may impose a snap count Weeks 1-2. ~10 months post-ACL.,major-recovery,https://www.espn.com/nfl/story/_/id/49497140/packers-star-te-tucker-kraft-activated-pup-acl-recovery ; https://www.profootballnetwork.com/tucker-kraft-injury-update-will-he-play-in-week-1/,2026-09-04
Sam LaPorta,TE,"hyperextended knee (Week 18):2023; hamstring/AC joint:2024; herniated lumbar disc, back surgery (~Week 10, season over):2025; hip (late-Aug practice):2026","Fully cleared from back surgery for camp, but suffered a hip injury in late-Aug practice; Dan Campbell on Week 1: 'I feel like we'll be OK, but I don't know'; likely missed rest of preseason.",back,https://sicscore.com/news/sam-laporta-injury-update-lions-te-fully-cleared-after-back-surgery-ready-for-2026-season ; https://wmms.iheart.com/content/2026-08-20-lions-laporta-not-certain-to-play-week-one/,2026-09-04
Brock Bowers,TE,"PCL injury + bone bruise left knee (Week 1 vs NE, played 12 games, IR Dec):2025",Says he feels '100 percent'; full health; top target for Kirk Cousins. No 2026 injury.,structural,https://bleacherreport.com/articles/25431900-brock-bowers-updates-knee-injury-status-2026-nfl-season-amid-raiders-otas ; https://www.silverandblackpride.com/las-vegas-raiders-injuries/113645/raiders-injury-update-brock-bowers,2026-09-04
Mike Evans,WR,"hamstring (3 games):2024; hamstring (Week 3, 4 games):2025; broken collarbone surgery (Week 7 vs DET):2025; groin (camp, 'barely practiced'):2026",Now SF. Groin kept him out for over a week; returned to practice Wed Sept 2; should be available Sept 10 vs LAR but limited chemistry with Purdy.,soft-tissue,https://sports.yahoo.com/articles/mike-evans-injury-49ers-being-225614723.html ; https://www.si.com/nfl/mike-evans-bucs-injury-update,2026-09-04
Chris Godwin,WR,"ACL (Dec 2021, returned Week 1):2022; dislocated ankle surgery (Week 7):2024; second ankle surgery (offseason):2025; returned mid-2025 with limited production:2025",'Healthiest he's been in quite some time'; full offseason spent training rather than rehabbing; practicing fully.,structural,https://www.pewterreport.com/chris-godwin-jr-looking-his-old-self-again/ ; https://www.buccaneers.com/news/chris-godwin-jr-poised-breakout-campaign-2026,2026-09-04
Isiah Pacheco,RB,"fractured fibula (Week 2, 9 games):2024; MCL sprain (3-4 games):2025; MCL sprain (Aug 10 camp):2026; back injury:2026","Now DET. Placed on IR Sept 1 with back injury (MCL was the earlier issue); out at least Weeks 1-4, earliest return Oct 11 vs ARI; Lions 'hope' he returns this season.",back,https://www.profootballrumors.com/2026/09/lions-place-rb-isiah-pacheco-on-ir ; https://clutchpoints.com/nfl/detroit-lions/lions-news-detroit-sends-isiah-pacheco-to-ir-with-back-injury,2026-09-04
James Conner,RB,"ribs/ankle (4 games):2022; knee (IR, 4 games):2023; ankle dislocation surgery (Week 3, season over):2025",Opens 2026 on IR (designated to return); out at least Weeks 1-4; ~11 months post-surgery; behind Love/Allgeier when back.,major-recovery,https://www.draftsharks.com/fantasy-football-news/82412/james-conner-to-open-2026-on-ir-missing-cardinals-first-4-games ; https://www.si.com/nfl/james-conner-injury-update-bleak-outlook-cardinals-rb-ankle-injury,2026-09-04
Zach Charbonnet,RB,"torn ACL (Divisional Round vs SF, Jan):2026",Reserve/PUP (Aug 30); out at least Weeks 1-4; realistic return Week 7 vs KC at earliest. Jadarian Price / Holani / E. Wilson carry backfield.,major-recovery,https://sports.yahoo.com/articles/seahawks-place-rb-zach-charbonnet-180047644.html ; https://www.nfl.com/news/seahawks-rb-zach-charbonnet-has-significant-knee-injury-out-for-remainder-of-playoffs,2026-09-04
Jordyn Tyson,WR,"4th hamstring injury / 6th lower-body injury in 4 years (college + NFL):2022-2026; right hamstring strain (joint practice vs JAX, ~Aug 17, ~8 weeks):2026","Rookie (#8 overall, NO). IR/designated to return (Aug 30); out Weeks 1-4 minimum; ~2-month timeline points to Week 7-8.",soft-tissue,https://www.nfl.com/news/saints-rookie-wr-jordyn-tyson-hamstring-expected-to-miss-2-months ; https://www.espn.com/nfl/story/_/id/49642899/saints-rookie-wr-jordyn-tyson-miss-two-months,2026-09-04
Emeka Egbuka,WR,"hip/groin (played through):2025; toe sprain / turf toe (joint practice vs NYJ, Aug 12):2026","Day-to-day; missed Sept 1 practice; Bowles 'hopeful' for Sept 13 vs CIN; local beat says 'lingering issues', not a lock for Week 1.",soft-tissue,https://sports.yahoo.com/articles/emeka-egbuka-injury-latest-buccaneers-151528709.html ; https://www.joebucsfan.com/2026/09/lingering-issues-for-emeka-egbuka-jalen-mcmillan/,2026-09-04
Kyle Monangai,RB,hyperextended right knee (Aug 16 practice):2026,Week-to-week per Ben Johnson (Sept 1); on the 53 (not IR); Swift says he 'looked good' running; Week 1 (Sept 13 vs CAR) in doubt.,structural,https://www.si.com/nfl/bears/onsi/kyle-monangai-injury-update-following-chicago-bears-53-man-roster-cuts ; https://abc7chicago.com/post/bears-rb-kyle-monangai-knee-expected-miss-multiple-weeks-source-says/19694796/,2026-09-04
Rome Odunze,WR,"MCL sprain (played):2024; left foot stress fracture (most of season):2025; right leg injury, left practice early (Sept 3):2026","Left Thursday Sept 3 practice hobbling on right leg, walked off; no team statement (Johnson not speaking until next week); first official injury report Wed Sept 9. Status for Week 1 unknown. Foot described as a 'new normal'.",structural,https://chicago.suntimes.com/bears/2026/09/03/bears-practice-report-rb-dandre-swift-wr-rome-odunze-leave-with-injuries ; https://www.profootballrumors.com/2026/07/bears-wr-rome-odunze-adjusting-to-new-normal-after-foot-injury,2026-09-04
Christian Watson,WR,"hamstring (3 games):2022; hamstring (3 games):2023; hamstring/shoulder + torn ACL (Week 18):2024; PUP then returned ~Week 9; chest injury/hospitalized (Dec, not long-term):2025",No 2026 snippet retrieved (search budget exhausted); last verified news is Dec 2025 (no long-term injury). Status UNVERIFIED; assumed healthy.,soft-tissue,https://www.espn.com/nfl/story/_/id/47313785/sources-packers-get-good-news-christian-watson-injury ; https://sicscore.com/nfl/players/christian-watson,2026-09-04
Jayden Reed,WR,"fractured collarbone (Week 2) + foot, 10 games missed:2025; ankle (camp DNP):2026",Sat one camp practice with an ankle; LaFleur: not a long-term concern; ADP rising as 'healthy'.,none,https://www.cbssports.com/fantasy/football/news/packers-jayden-reed-nursing-ankle-injury/ ; https://www.nfl.com/news/packers-jayden-reed-likely-to-miss-6-8-weeks-after-breaking-collarbone-vs-commanders,2026-09-04
TreVeyon Henderson,RB,"right ankle (slipped on cut, late Aug practice):2026",Avoided serious injury (not high-ankle); missed Sept 1-2 practice; 'good to go' for Wed Sept 9 vs SEA per league source; splitting with Stevenson.,soft-tissue,https://985thesportshub.com/2026/09/02/treveyon-henderson-injury-update-patriots/ ; https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/patriots-evaluating-treveyon-hendersons-ankle-injury,2026-09-04
Rhamondre Stevenson,RB,high-ankle sprain (5 games):2023; toe (games missed):2025; precautionary practice exit (Sept 1):2026,"Left practice Tues for undisclosed reason, back Thursday in full pads; no injury reported; listed RB1 in split with Henderson.",none,https://fantasyfootballcalculator.com/players/rhamondre-stevenson/injury ; https://sicscore.com/nfl/players/rhamondre-stevenson,2026-09-04
Josh Jacobs,RB,quad (4 games):2023; knee (played through):2025; groin (since early Aug):2026,Placed on Commissioner's Exempt List ~Aug 30 (May arrest); cannot practice/play; 6-game suspension possible. Out Week 1+. Also nursing groin. GB traded for Kaleb Johnson; Lloyd leads.,soft-tissue,https://www.espn.com/nfl/story/_/id/49774523/packers-rb-josh-jacobs-placed-commission-exempt-list ; https://www.nbcsports.com/fantasy/football/player-news/2026-08-26/packers-preparing-for-jacobs-suspension,2026-09-04
Derrick Henry,RB,"Jones fracture (2021, pre-window); no time-loss injuries 2022-2025 (17 games each yr):2022-2025",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy; age 32.,none,UNVERIFIED — no URL retrieved,2026-09-04
Jonathan Taylor,RB,"high-ankle sprain (IR, 6 games):2022; thumb surgery + ankle (3 games):2023; high-ankle sprain (3 games):2024; healthy, 1,585 yds / 18 TD:2025",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,soft-tissue,https://ftnfantasy.com/nfl/looking-ahead-to-the-2027-nfl-free-agency-class (2025 stats only),2026-09-04
Justin Jefferson,WR,"hamstring (IR, 7 games):2023; hamstring (camp, minor):2025",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy; new QB Kyler Murray.,soft-tissue,https://www.sharpfootballanalysis.com/fantasy/nfl-red-zone-stats-expectations-wide-receivers/ (2025 usage only),2026-09-04
Davante Adams,WR,hamstring (3 games):2024; hamstring (2 games):2025,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy; age 33 (LAR).,soft-tissue,UNVERIFIED — no URL retrieved,2026-09-04
Terry McLaurin,WR,quad (~5 games) + ankle:2025,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy; note a 2025 'does not report' item resurfaced in search and does NOT apply to 2026.,soft-tissue,UNVERIFIED — no URL retrieved,2026-09-04
DK Metcalf,WR,knee/MCL (2 games):2024,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy (PIT).,none,UNVERIFIED — no URL retrieved,2026-09-04
Trey McBride,TE,"concussion (1 game):2024; knee (DNP, played):2025",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,none,UNVERIFIED — no URL retrieved,2026-09-04
Justin Herbert,QB,rib cartilage (played):2022; finger fracture (4 games):2023; plantar fascia (camp) + high-ankle sprain (played):2024; non-throwing hand fracture (played):2025,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy; new OC Mike McDaniel; 498 rush yds in 2025.,none,https://fantasydata.com/nfl/justin-herbert-fantasy/21681 (2025 stats only),2026-09-04
Jalen Hurts,QB,SC joint shoulder sprain (2 games):2022; concussion (2 games):2024,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,none,https://www.statmuse.com/nfl/ask/jalen-hurts-2025-rushing-and-passing-stats (2025 stats only),2026-09-04
Tyler Allgeier,RB,no time-loss injuries (never missed a game):2022-2025,Healthy; FA signing (2 yr/$12.25M) listed first on ARI depth chart while Love (ankle) is out; Week 1 lead back if Love sits.,none,https://heavy.com/sports/nfl/arizona-cardinals/trey-benson-clears-waivers-injured-reserve/ ; https://www.profootballrumors.com/2026/09/cardinals-rb-jeremiyah-love-50-50-for-week-1,2026-09-04
De'Von Achane,RB,MCL sprain (4 games):2023; concussion (1 game):2024; calf strain (camp):2025,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,none,UNVERIFIED — no URL retrieved,2026-09-04
Jaylen Waddle,WR,hamstring/concussion (3 games):2023; knee (2 games):2024,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Traded to DEN; assumed healthy.,none,https://www.espn.com/fantasy/football/story/_/id/47899702/nfl-free-agency-2026-fantasy-football-impact-signings-trades-grades (trade only),2026-09-04
Ladd McConkey,WR,knee/hip/shoulder (1 game):2024,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy; new OC McDaniel.,none,https://www.si.com/onsi/fantasy/rankings/ladd-mcconkey-leads-third-year-wide-receivers-poised-for-a-fantasy-football-breakout-in-2026 (outlook only),2026-09-04
Tetairoa McMillan,WR,none (17 games as rookie):2025,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,none,UNVERIFIED — no URL retrieved,2026-09-04
Zay Flowers,WR,knee (missed playoff):2024; quad contusion + lower-body (in-and-out):2026,"Quad contusion then a lower-body issue in camp; HC Jesse Minter: 'nothing major', full expectation for Week 1 (Sept 13 at IND).",soft-tissue,https://www.baltimoreravens.com/news/zay-flowers-day-to-day-quad-contusion-training-camp-injury-2026 ; https://www.yardbarker.com/nfl/articles/baltimore_ravens_get_major_zay_flowers_update_before_week_1/s1_17355_44246459,2026-09-04
Luther Burden III,WR,concussion (Nov):2025,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy; CHI WR2.,none,https://www.si.com/onsi/fantasy/nfl/cam-ward-luther-burden-iii-4-more-fantasy-football-second-year-breakout-candidates (outlook only),2026-09-04
DJ Moore,WR,no significant time-loss injuries:2022-2025,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Traded to BUF; assumed healthy.,none,https://www.espn.com/fantasy/football/story/_/id/47899702/nfl-free-agency-2026-fantasy-football-impact-signings-trades-grades (trade only),2026-09-04
Travis Etienne,RB,"Lisfranc (2021, pre-window); shoulder/hamstring (2 games):2024",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Signed with NO; assumed healthy.,none,https://www.fantasypros.com/2026/07/6-running-backs-on-new-teams-2026-fantasy-football/ (team change only),2026-09-04
Quinshon Judkins,RB,none (rookie season):2025,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,none,UNVERIFIED — no URL retrieved,2026-09-04
D'Andre Swift,RB,"shoulder/ankle (3 games):2022; groin (played through):2025; undisclosed, left practice early (Sept 3):2026",Left Thursday Sept 3 practice early with an apparent injury alongside Odunze; no team statement yet; first injury report Wed Sept 9. Listed RB1 with Monangai out. Week 1 status unknown.,soft-tissue,https://chicago.suntimes.com/bears/2026/09/03/bears-practice-report-rb-dandre-swift-wr-rome-odunze-leave-with-injuries ; https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/rome-odunze-dandre-swift-left-bears-practice-early,2026-09-04
Kyren Williams,RB,"ankle sprain (IR, 4 games):2023",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy (17 games in 2024 and 2025).,none,https://ftnfantasy.com/nfl/jeff-ratcliffes-2026-rb-tiers (outlook only),2026-09-04
Javonte Williams,RB,torn ACL/LCL/PLC (Oct 2):2022; returned:2023,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy (DAL).,none,UNVERIFIED — no URL retrieved,2026-09-04
Chase Brown,RB,"ankle (Week 17, 1 game):2024",UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,none,UNVERIFIED — no URL retrieved,2026-09-04
James Cook,RB,no time-loss injuries:2022-2025,UNVERIFIED for 2026 (no Sept-2026 search snippet retrieved; session search budget exhausted). Pre-June-2026 history from general knowledge. Assumed healthy.,none,UNVERIFIED — no URL retrieved,2026-09-04
