team,hc,oc_playcaller,new_in_2026,prior_pass_rate_tendency,prior_pace_tendency,rb_usage_tendency,te_usage_tendency,source_url
DET,Dan Campbell,Drew Petzing (new OC; ex-ARI OC 2023-25); Mike Kafka pass-game coordinator,YES,UNVERIFIED (Petzing ARI: run-lean/under-expected pass rate - prior knowledge; UNCITED),UNVERIFIED,UNVERIFIED,Petzing ARI featured McBride heavily (prior knowledge; UNCITED),https://sports.yahoo.com/articles/2026-nfc-north-season-forecast-020852061.html
GB,Matt LaFleur,Matt LaFleur (OC name UNVERIFIED),NO,GB 2025 pass rate fell to 51.3% (06-qb-te-dst.md cite),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.cbssports.com/nfl/news/nfc-north-win-totals-2026-bears-lions-packers-vikings-picks/
HOU,DeMeco Ryans,Nick Caley (OC since 2025; ex-LAR pass-game coord),NO,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://en.wikipedia.org/wiki/List_of_current_NFL_offensive_coordinators
IND,Shane Steichen,Shane Steichen (OC Jim Bob Cooter),NO,UNVERIFIED,UNVERIFIED,J.Taylor workhorse continuity (UNVERIFIED),UNVERIFIED,https://en.wikipedia.org/wiki/List_of_current_NFL_offensive_coordinators
JAX,Liam Coen,Liam Coen (OC Grant Udinski since 2025),NO,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://en.wikipedia.org/wiki/List_of_current_NFL_offensive_coordinators
KC,Andy Reid,Andy Reid (OC Eric Bieniemy returns),NO (play-caller); OC new,UNVERIFIED (Reid pass-heavy - prior knowledge; UNCITED),UNVERIFIED,Chiefs plan 3-down role for Walker (04-rb.md cite),UNVERIFIED,https://www.nfl.com/news/afc-west-training-camp-2026-preview-broncos-raiders-chargers-chiefs
LAC,Jim Harbaugh,Mike McDaniel (new OC; replaced Greg Roman),YES,McDaniel MIA: pass-heavy / high-efficiency explosive scheme (Fantasy Points; CBS ranks him #1 fantasy-friendly new play-caller),Pace expected to SLOW considerably due to motion; MIA had slowest situation-neutral pace in 2025 (4for4),UNVERIFIED (earlier snippet: RB rotation plan; CONFLICT flagged in 04-rb.md),UNVERIFIED,https://www.4for4.com/2026/preseason/how-play-calling-tendencies-affect-fantasy-football | https://www.cbssports.com/fantasy/football/news/new-play-caller-nfl-fantasy-football-rankings/
LAR,Sean McVay,Sean McVay (OC Mike LaFleur left for ARI; new OC name UNVERIFIED),NO,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://sports.yahoo.com/articles/nfc-west-undergoing-coordinator-changes-052643101.html
LV,Klint Kubiak (new HC; ex-SEA OC),Kubiak likely calls; OC Andrew Janocko (first-time OC; ex-SEA QB coach),YES,UNVERIFIED (Kubiak SEA 2025: run-lean outside zone - prior knowledge; UNCITED),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.rotowire.com/football/article/afc-west-preview-2026-fantasy-impact-of-coaching-personnel-changes-124758
MIA,Jeff Hafley (new HC),Bobby Slowik (new OC; per 05-wr.md note),YES,UNVERIFIED (Slowik HOU 2023-24 - prior knowledge; UNCITED),Prior regime slowest situation-neutral pace in 2025 (4for4),UNVERIFIED,UNVERIFIED,https://www.4for4.com/2026/preseason/how-play-calling-tendencies-affect-fantasy-football
MIN,Kevin O'Connell,Kevin O'Connell (OC name UNVERIFIED; Angelichio left for PIT),NO,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://en.wikipedia.org/wiki/List_of_current_NFL_offensive_coordinators
NE,Mike Vrabel,Josh McDaniels returns as play-caller,NO,UNVERIFIED (NE 2nd in PPG 2025),UNVERIFIED,Stevenson RB1 / Henderson change-of-pace (03-news.md cite),UNVERIFIED,https://www.theringer.com/2026/08/28/nfl/2026-afc-east-preview-new-england-patriots-buffalo-bills-new-york-jets-miami-dolphins
NO,Kellen Moore (yr 2),Kellen Moore (OC Doug Nussmeier),NO,UNVERIFIED,UNVERIFIED,Kamara lead / Etienne (04-rb.md note),UNVERIFIED,https://www.nfl.com/news/nfc-south-training-camp-2026-preview-falcons-panthers-saints-buccaneers
NYG,John Harbaugh (new HC),Matt Nagy (new OC),YES,UNVERIFIED (Nagy CHI history - prior knowledge; UNCITED),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.rotowire.com/football/article/nfc-east-preview-2026-fantasy-impact-of-coaching-personnel-changes-125700
NYJ,Aaron Glenn (yr 2),Frank Reich (new OC; snippet says Reich calls plays; new QB Geno Smith) - CONFLICT: earlier session tracker had McDaniel as NYJ OC (now resolved to LAC),YES,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://sports.yahoo.com/articles/afc-east-led-patriots-bills-021355675.html
PHI,Nick Sirianni,Sean Mannion (new OC; ex-GB QB coach 2025),YES,UNVERIFIED (first-time play-caller),UNVERIFIED,Barkley workhorse continuity (UNVERIFIED),UNVERIFIED,https://www.nfl.com/news/nfc-east-training-camp-2026-preview-cowboys-giants-eagles-commanders
PIT,Mike McCarthy (new HC),McCarthy likely calls; OC Brian Angelichio (ex-MIN TE coach/pass-game coord),YES,UNVERIFIED (McCarthy DAL 2023-24 pass-heavy - prior knowledge; UNCITED),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://en.wikipedia.org/wiki/List_of_current_NFL_offensive_coordinators
SEA,Mike Macdonald,Brian Fleury (new OC; ex-SF TE coach/run-game coord; Kubiak left for LV),YES,Shanahan/McDaniel tree; system similar to Kubiak's (yahoo); likely maintains high shift/motion rate (PFF),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://sports.yahoo.com/articles/nfc-west-undergoing-coordinator-changes-052643101.html | https://www.pff.com/news/fantasy-football-2026-how-play-action-pre-snap-motion-and-rpo-rates-define-2026-fantasy-value
SF,Kyle Shanahan,Kyle Shanahan (OC name UNVERIFIED),NO,UNVERIFIED,UNVERIFIED,McCaffrey 129 targets 2025 (04-rb.md cite),UNVERIFIED,https://www.espn.com/nfl/story/_/id/49711157/nfl-playcallers-32-teams-mike-mcdaniel-sean-mcvay-mike-mccarthy
TB,Todd Bowles,Zac Robinson (new OC; ex-ATL OC 2024-25),YES,UNVERIFIED,UNVERIFIED,Outside-zone run scheme expected to add explosiveness (NFL.com),UNVERIFIED,https://www.nfl.com/news/nfc-south-training-camp-2026-preview-falcons-panthers-saints-buccaneers
TEN,Robert Saleh (new HC),Brian Daboll (new OC; ex-NYG HC),YES,UNVERIFIED (Daboll NYG/BUF history pass-lean - prior knowledge; UNCITED),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.nfl.com/news/afc-south-training-camp-2026-preview-texans-colts-jaguars-titans
WAS,Dan Quinn,David Blough (new OC; promoted from asst QB coach; first-time play-caller),YES,UNVERIFIED (first-time play-caller),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.foxsports.com/stories/nfl/2026-nfl-preview-10-new-coordinators-who-could-shape-upcoming-season
